Id,Date,Age,Career,Parental status,Education,Employment Status,Ethnicity / Race,Gender,Household Income (yearly),Relationship Status,State,County,City,Zip,Csa,MSAs/åµSA,Superman,Batman,Spiderman,Wonder Woman,The Hulk,Thor,Wolverine,Movies.ThisYear,Movies.NextYear,Merchandise.ThisYear,Merchandise.NextYear
85605310,2015-06-11 14:17:32 UTC,60,Healthcare,no children,No college,Full time,White American,Female,"$25,000 - $50,000",Divorced,Illinois,Lake County,Wauconda village,60084,undefined,"Chicago-Naperville-Elgin, IL-IN-WI",First,Second,Fourth,Third,Fifth,Sixth,Seventh,No,Very unlikely,No,Very unlikely
85605314,2015-06-11 14:17:37 UTC,26,Other,3 children,No college,Unemployed,White American,Male,"$0 - $25,000",Married,Virginia,Virginia Beach city,Worcester city,23464,undefined,"Virginia Beach-Norfolk-Newport News, VA-NC",First,Second,Third,Sixth,Fourth,Fifth,Seventh,"Yes, one",Likely,"Yes, one",Somewhat likely
85605318,2015-06-11 14:17:55 UTC,25,IT,2 children,Some college,Full time,African-American,Male,"$50,000 - $75,000",It's complicated,Florida,Miami-Dade County,Miami city,33125,undefined,"Miami-Fort Lauderdale-West Palm Beach, FL",Second,Third,Fifth,Seventh,Fourth,First,Sixth,"Yes, multiple",Very likely,"Yes, multiple",Likely
85605322,2015-06-11 14:18:08 UTC,56,Retail,no children,2yr degree,Unemployed,White American,Female,"$0 - $25,000",Single,North Carolina,Jackson County,Woodland city,28786,undefined,"Cullowhee, NC",Third,First,Fourth,Second,Seventh,Fifth,Sixth,"Yes, one",Unlikely,No,Unlikely
85605326,2015-06-11 14:18:08 UTC,66,Other,3 children,Some college,Retired,White American,Male,"$25,000 - $50,000",Married,Alabama,Etowah County,Rainbow City city,35906,undefined,"Gadsden, AL",First,Third,Fourth,Second,Sixth,Seventh,Fifth,No,Somewhat unlikely,No,Neutral
85605330,2015-06-11 14:18:12 UTC,23,Healthcare,no children,4yr degree,Student,White American,Male,"$75,000 - $100,000",Single,New York,Onondaga County,Tempe city,13210,undefined,"Syracuse, NY",Third,First,Second,Seventh,Fourth,Fifth,Sixth,"Yes, multiple",Likely,No,Unlikely
85605334,2015-06-11 14:18:12 UTC,45,Small business owner,no children,4yr degree,Full time,White American,Male,"$100,000 - $200,000",Divorced,Pennsylvania,Bucks County,Richmond city,18940,undefined,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",First,Second,Seventh,Sixth,Third,Fifth,Fourth,"Yes, multiple",Very likely,No,Very unlikely
85605338,2015-06-11 14:18:19 UTC,52,Other,no children,Some college,Unemployed,White American,Female,"$0 - $25,000",Widowed,California,San Diego County,San Diego city,92105,undefined,"San Diego-Carlsbad, CA",Second,First,Fourth,Third,Fifth,Seventh,Sixth,No,Very unlikely,No,Very unlikely
85605342,2015-06-11 14:18:30 UTC,30,Other,2 children,Some college,Full time,White American,Female,"$50,000 - $75,000",Single,Massachusetts,Plymouth County,Steamboat,2360,undefined,"Boston-Cambridge-Newton, MA-NH",Third,First,Second,Seventh,Fourth,Fifth,Sixth,"Yes, multiple",Somewhat likely,"Yes, multiple",Somewhat likely
85605346,2015-06-11 14:18:39 UTC,54,Other,1 child,Some college,Full time,White American,Female,"$50,000 - $75,000",Divorced,Indiana,Lake County,Shelby,46356,undefined,"Chicago-Naperville-Elgin, IL-IN-WI",First,Fourth,Fifth,Second,Third,Seventh,Sixth,"Yes, one",Very unlikely,"Yes, one",Somewhat likely
