State Name,"Scale Score, Grade 4 Math",% of Students at or Above Basic - Grade 4 Math,% of Students at or Above Proficient - Grade 4 Math,% of Students at or Above Advanced - Grade 4 Math,"Scale Score, Grade 8 Math",% of Students at or Above Basic - Grade 8 Math,% of Students at or Above Proficient - Grade 8 Math,% of Students at or Above Advanced - Grade 8 Math,"Scale Score, Grade 4 Reading",% of Students at or Above Basic - Grade 4 Reading,% of Students at or Above Proficient - Grade 4 Reading,% of Students at or Above Advanced - Grade 4 Reading,"Scale Score, Grade 8 Reading",% of Students at or Above Basic - Grade 8 Reading,% of Students at or Above Proficient - Grade 8 Reading,% of Students at or Above Advanced - Grade 8 Reading,"Scale Score, Grade 4 Science",% of Students at or Above Basic - Grade 4 Science,% of Students at or Above Proficient - Grade 4 Science,% of Students at or Above Advanced - Grade 4 Science,"Scale Score, Grade 8 Science",% of Students at or Above Basic - Grade 8 Science,% of Students at or Above Proficient - Grade 8 Science,% of Students at or Above Advanced - Grade 8 Science,"Scale Score, Grade 4 Writing",% of Students at or Above Basic - Grade 4 Writing,% of Students at or Above Proficient - Grade 4 Writing,% of Students at or Above Advanced - Grade 4 Writing,"Scale Score, Grade 8 Writing",% of Students at or Above Basic - Grade 8 Writing,% of Students at or Above Proficient - Grade 8 Writing,% of Students at or Above Advanced - Grade 8 Writing
Alabama,228,70%,24%,2%,269,58%,20%,4%,216,62%,29%,7%,252,62%,21%,1%,142,58%,21%,2%,138,48%,19%,1%,140,77%,15%,1%,148,84%,24%,1%
Alaska,237,78%,38%,6%,283,75%,33%,6%,214,62%,29%,6%,259,71%,27%,2%,,,,,,,,,,,,,,,,
Arizona,230,71%,28%,4%,277,67%,29%,6%,210,56%,24%,5%,255,65%,24%,2%,139,53%,18%,1%,140,49%,20%,2%,140,76%,15%,1%,148,85%,23%,1%
Arkansas,238,80%,36%,5%,276,67%,27%,4%,217,64%,29%,5%,258,70%,25%,1%,147,64%,24%,1%,144,56%,23%,2%,145,82%,19%,1%,151,85%,27%,1%
California,232,72%,30%,5%,270,59%,23%,5%,209,53%,23%,5%,251,62%,21%,2%,137,50%,17%,1%,136,44%,18%,2%,146,80%,23%,2%,148,83%,25%,1%
Colorado,243,84%,45%,8%,287,76%,40%,10%,224,70%,36%,9%,266,79%,35%,2%,155,74%,32%,2%,155,66%,35%,4%,,,,,161,91%,38%,2%
Connecticut,245,86%,46%,8%,289,78%,40%,10%,227,73%,41%,12%,267,77%,37%,5%,155,72%,33%,3%,152,63%,33%,4%,174,94%,49%,8%,172,92%,53%,7%
Delaware,239,84%,36%,5%,284,75%,32%,6%,225,73%,34%,7%,265,77%,31%,2%,152,71%,27%,2%,152,63%,29%,3%,163,92%,35%,3%,158,91%,34%,2%
District of Columbia,219,56%,17%,3%,254,40%,11%,2%,197,39%,14%,4%,241,48%,12%,1%,,,,,,,,,135,73%,11%,1%,,,,
Florida,242,86%,40%,5%,279,70%,29%,6%,224,70%,34%,8%,260,71%,28%,2%,150,68%,26%,2%,141,51%,21%,2%,158,86%,33%,4%,158,88%,36%,3%
